GPS Location:,Unlocked
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),40.765671,AUTO
Start Frequency,1
Stop Frequency,1000000
Frequency Offset,0
Average Type,Log Pwr
RBW,10,MAN
VBW,10,AUTO
Sweep Type,Continuous
Speed,Fast
Sweep Mode,AUTO
PreAmp State,OFF
Ref Level,-20
Attenuation,10
Ref Level Offset,0
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,0
Trigger Slope,RISE
Trigger Delay,0,OFF
Ampt Correction,OFF
Antenna Unit,OFF
Correction1,OFF
Correction2,OFF
Correction3,OFF
Correction4,OFF
Correction5,OFF
Trace Math,Off
Trace Math By,Log Pwr
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1
Average Count,100
Trace Type,ClearWrite
Detector,Avarage
Trace Data
1,-87.0489044189453
2174.91086956522,-89.3538055419922
4348.82173913044,-91.6305160522461
6522.73260869565,-94.6440048217773
8696.64347826087,-96.0267333984375
10870.5543478261,-96.2943496704102
13044.4652173913,-95.8548431396484
15218.3760869565,-95.3214340209961
17392.2869565217,-94.737419128418
19566.197826087,-95.2839889526367
21740.1086956522,-95.7361526489258
23914.0195652174,-95.2945022583008
26087.9304347826,-96.0966339111328
28261.8413043478,-96.2808837890625
30435.752173913,-97.102180480957
32609.6630434783,-96.5037307739258
34783.5739130435,-97.0120315551758
36957.4847826087,-97.7570495605469
39131.3956521739,-97.613037109375
41305.3065217391,-97.2158889770508
43479.2173913044,-97.2697525024414
45653.1282608696,-98.0990219116211
47827.0391304348,-98.5108947753906
50000.95,-98.6292724609375
52174.8608695652,-99.4057922363281
54348.7717391304,-99.1758575439453
56522.6826086957,-99.9971694946289
58696.5934782609,-99.8097305297852
60870.5043478261,-100.290985107422
63044.4152173913,-100.563041687012
65218.3260869565,-100.170394897461
67392.2369565218,-101.213043212891
69566.147826087,-100.477531433105
71740.0586956522,-101.377487182617
73913.9695652174,-100.792831420898
76087.8804347826,-101.011581420898
78261.7913043478,-101.524940490723
80435.702173913,-102.054695129395
82609.6130434783,-101.399688720703
84783.5239130435,-102.995590209961
86957.4347826087,-101.872840881348
89131.3456521739,-101.699554443359
91305.2565217391,-102.865898132324
93479.1673913044,-103.211364746094
95653.0782608696,-103.145126342773
97826.9891304348,-102.973426818848
100000.9,-103.31697845459
102174.810869565,-103.393493652344
104348.72173913,-104.510780334473
106522.632608696,-104.488395690918
108696.543478261,-104.837440490723
110870.454347826,-104.607368469238
113044.365217391,-104.090324401855
115218.276086957,-104.361595153809
117392.186956522,-103.979209899902
119566.097826087,-105.616912841797
121740.008695652,-104.617378234863
123913.919565217,-105.868682861328
126087.830434783,-104.69758605957
128261.741304348,-105.322494506836
130435.652173913,-105.576309204102
132609.563043478,-105.973350524902
134783.473913044,-105.95923614502
136957.384782609,-106.44255065918
139131.295652174,-106.991119384766
141305.206521739,-106.626014709473
143479.117391304,-106.6611328125
145653.02826087,-106.041580200195
147826.939130435,-105.815536499023
150000.85,-106.790084838867
152174.760869565,-107.352203369141
154348.67173913,-107.34139251709
156522.582608696,-106.661582946777
158696.493478261,-107.006225585938
160870.404347826,-107.411552429199
163044.315217391,-108.029388427734
165218.226086957,-108.257369995117
167392.136956522,-107.204574584961
169566.047826087,-107.204254150391
171739.958695652,-108.115592956543
173913.869565217,-107.602020263672
176087.780434783,-107.875663757324
178261.691304348,-107.65047454834
180435.602173913,-108.425720214844
182609.513043478,-108.1220703125
184783.423913043,-108.753814697266
186957.334782609,-108.278457641602
189131.245652174,-108.868156433105
191305.156521739,-108.390678405762
193479.067391304,-109.031074523926
195652.97826087,-108.919486999512
197826.889130435,-108.55150604248
200000.8,-109.222694396973
202174.710869565,-108.564422607422
204348.62173913,-109.232696533203
206522.532608696,-109.864669799805
208696.443478261,-108.815010070801
210870.354347826,-109.632675170898
213044.265217391,-109.354988098145
215218.176086957,-108.54035949707
217392.086956522,-109.975738525391
219565.997826087,-109.487579345703
221739.908695652,-110.01390838623
223913.819565217,-110.693359375
226087.730434783,-110.323776245117
228261.641304348,-109.901794433594
230435.552173913,-110.014450073242
232609.463043478,-110.832939147949
234783.373913043,-110.305335998535
236957.284782609,-110.170150756836
239131.195652174,-110.3076171875
241305.106521739,-111.26163482666
243479.017391304,-110.389633178711
245652.92826087,-109.824531555176
247826.839130435,-110.601760864258
250000.75,-111.938858032227
252174.660869565,-109.91658782959
254348.57173913,-110.348922729492
256522.482608696,-111.072868347168
258696.393478261,-110.542198181152
260870.304347826,-111.080039978027
263044.215217391,-111.511405944824
265218.126086957,-111.797966003418
267392.036956522,-111.851531982422
269565.947826087,-111.068046569824
271739.858695652,-111.18871307373
273913.769565217,-111.720062255859
276087.680434783,-111.848609924316
278261.591304348,-111.406036376953
280435.502173913,-112.42951965332
282609.413043478,-112.071838378906
284783.323913043,-112.191566467285
286957.234782609,-111.762794494629
289131.145652174,-112.007057189941
291305.056521739,-112.565162658691
293478.967391304,-112.153923034668
295652.87826087,-111.583915710449
297826.789130435,-112.008712768555
300000.7,-112.219055175781
302174.610869565,-112.591522216797
304348.52173913,-112.148490905762
306522.432608696,-113.399398803711
308696.343478261,-112.939292907715
310870.254347826,-113.331367492676
313044.165217391,-113.487121582031
315218.076086957,-112.35514831543
317391.986956522,-112.748092651367
319565.897826087,-112.615783691406
321739.808695652,-112.777954101563
323913.719565217,-112.484954833984
326087.630434783,-113.595008850098
328261.541304348,-113.015800476074
330435.452173913,-113.138984680176
332609.363043478,-112.859046936035
334783.273913043,-112.603889465332
336957.184782609,-113.110061645508
339131.095652174,-113.228096008301
341305.006521739,-113.257225036621
343478.917391304,-113.507202148438
345652.82826087,-113.20133972168
347826.739130435,-113.939979553223
350000.65,-113.10179901123
352174.560869565,-112.501480102539
354348.47173913,-112.586395263672
356522.382608696,-113.308853149414
358696.293478261,-113.307968139648
360870.204347826,-113.477378845215
363044.115217391,-113.374366760254
365218.026086957,-114.703010559082
367391.936956522,-113.97061920166
369565.847826087,-114.4755859375
371739.758695652,-114.585899353027
373913.669565217,-114.662994384766
376087.580434783,-113.891273498535
378261.491304348,-114.371162414551
380435.402173913,-114.576622009277
382609.313043478,-113.931938171387
384783.223913044,-114.066596984863
386957.134782609,-113.894859313965
389131.045652174,-114.634216308594
391304.956521739,-114.42748260498
393478.867391304,-114.269714355469
395652.77826087,-114.518714904785
397826.689130435,-114.717483520508
400000.6,-114.076347351074
402174.510869565,-114.759414672852
404348.42173913,-114.984931945801
406522.332608696,-115.09765625
408696.243478261,-115.010559082031
410870.154347826,-114.366912841797
413044.065217391,-113.896286010742
415217.976086957,-115.554840087891
417391.886956522,-115.325088500977
419565.797826087,-114.636009216309
421739.708695652,-115.036666870117
423913.619565217,-115.305725097656
426087.530434783,-114.778381347656
